lat,lng,signal_dbm,network_type,mcc,mnc,cell_id,range,samples
12.9,77.51,-95,4G,404,45,231318538,1000,1
12.9,77.51,-95,2G,405,803,15683,1000,1
12.9,77.52,-95,3G,405,34,278890,1000,1
12.9,77.52,-95,3G,405,34,272811,1000,1
12.9,77.52,-95,3G,404,45,27807957,1000,1
12.9,77.52,-95,4G,404,45,925186,1000,1
12.9,77.52,-95,3G,404,45,27283669,1000,1
12.9,77.52,-95,2G,405,803,18952,1000,1
12.9,77.52,-95,2G,405,10,30602,1000,1
12.9,77.52,-95,2G,405,803,15681,1000,1
12.9,77.52,-95,2G,405,10,34942,1000,1
12.9,77.52,-95,2G,405,803,22202,1000,1
12.9,77.52,-95,3G,404,45,528386,5403,1
12.9,77.51,-95,3G,404,86,20543755,1000,1
12.9,77.51,-95,2G,404,45,25983,1000,1
12.9,77.51,-95,4G,404,45,665099,1000,1
12.9,77.51,-95,2G,405,34,6442,1000,1
12.9,77.51,-95,2G,405,34,16742,1000,1
12.9,77.51,-95,4G,405,861,877586,1000,1
12.9,77.51,-95,2G,405,10,39583,1000,1
12.9,77.52,-95,3G,404,86,20532904,1000,1
12.9,77.51,-95,3G,404,45,27807963,1000,1
12.9,77.51,-95,2G,405,803,27832,1000,1
12.9,77.51,-95,2G,405,803,27831,1000,1
12.9,77.51,-95,3G,404,45,27823145,1000,1
12.9,77.51,-95,3G,404,45,27823151,1000,1
12.9,77.51,-95,4G,404,45,231318528,1000,1
12.9,77.52,-95,4G,405,861,878116,1000,1
12.9,77.52,-95,2G,404,86,6003,1000,1
12.9,77.52,-95,2G,404,45,23782,1000,1
12.9,77.52,-95,3G,404,45,27286759,1000,1
12.9,77.52,-95,3G,404,45,27285328,1000,1
12.9,77.52,-95,4G,404,45,608770,1000,1
12.9,77.52,-95,2G,404,45,20691,1000,1
12.9,77.52,-95,2G,404,45,18953,1000,1
12.9,77.52,-95,2G,404,45,28071,1000,1
12.9,77.52,-95,2G,404,45,8513,1000,1
12.9,77.52,-95,2G,404,45,43993,1000,1
12.9,77.52,-95,2G,404,45,28073,1000,1
12.9,77.52,-95,2G,404,45,42422,1000,1
12.9,77.52,-95,2G,404,45,43992,1000,1
12.9,77.52,-95,2G,404,45,43991,1000,1
12.9,77.52,-95,4G,404,45,180541462,1000,1
12.9,77.52,-95,3G,405,34,291261,1000,1
12.9,77.53,-95,3G,404,45,27270045,1000,1
12.9,77.52,-95,4G,404,45,608780,1000,1
12.9,77.52,-95,3G,405,803,13236895,1000,1
12.9,77.52,-95,4G,405,861,1931043,1000,1
12.9,77.52,-95,2G,404,45,14601,1000,1
12.9,77.52,-95,4G,404,45,3737936,1000,1
12.9,77.52,-95,3G,404,86,20549115,1000,1
12.9,77.52,-95,3G,404,45,27823407,1000,1
12.9,77.52,-95,3G,404,45,27283668,1000,1
12.9,77.52,-95,2G,404,86,28072,1000,1
12.9,77.52,-95,2G,404,45,23781,1000,1
12.9,77.52,-95,4G,405,861,1931056,1000,1
12.9,77.52,-95,2G,404,45,14603,1000,1
12.9,77.52,-95,4G,404,45,231942668,1000,1
12.9,77.53,-95,3G,405,34,291260,1000,1
12.9,77.53,-95,2G,404,45,29972,1000,1
12.9,77.53,-95,2G,404,86,43991,1000,1
12.9,77.52,-95,2G,404,86,6001,1000,1
12.9,77.52,-95,2G,404,45,23783,1000,1
12.9,77.52,-95,2G,405,10,30622,1000,1
12.9,77.52,-95,3G,404,86,20574904,1000,1
12.9,77.52,-95,3G,404,45,27283667,1000,1
12.9,77.52,-95,3G,405,10,13236895,1000,1
12.9,77.52,-95,2G,405,10,30623,1000,1
12.9,77.52,-95,2G,405,10,39582,1000,1
12.9,77.52,-95,2G,405,803,43992,1000,1
12.9,77.52,-95,2G,405,803,64622,1000,1
12.9,77.52,-95,2G,405,803,28071,1000,1
12.9,77.52,-95,2G,405,803,42422,1000,1
12.9,77.52,-95,2G,405,803,28072,1000,1
12.9,77.52,-95,2G,405,803,42423,1000,1
12.9,77.52,-95,3G,404,45,27807955,1000,1
12.9,77.52,-95,3G,404,86,20532905,1000,1
12.9,77.54,-95,2G,404,44,17883,1000,1
12.9,77.53,-95,4G,404,45,767234,1000,1
12.9,77.54,-95,3G,404,45,27295608,1000,1
12.9,77.54,-95,2G,404,45,10173,1000,1
12.9,77.53,-95,4G,405,861,2894616,1000,1
12.9,77.53,-95,4G,405,861,2894619,1000,1
12.9,77.53,-95,2G,405,34,36623,1000,1
12.9,77.53,-95,2G,404,71,58131,1000,1
12.9,77.53,-95,2G,405,803,17523,1040,1
12.9,77.53,-95,3G,404,71,20482525,1000,1
12.9,77.54,-95,3G,404,71,21458276,1000,1
12.9,77.53,-95,4G,405,861,773156,1000,1
12.9,77.53,-95,2G,404,71,63683,1030,1
12.9,77.53,-95,3G,404,71,20347323,1000,1
12.9,77.54,-95,4G,404,45,767273,1000,1
12.9,77.53,-95,2G,405,34,6753,1000,1
12.9,77.53,-95,4G,405,861,4080656,1000,1
12.9,77.53,-95,3G,404,86,20578106,1000,1
12.9,77.54,-95,2G,405,34,6752,1000,1
12.9,77.54,-95,4G,405,861,1901091,1002,1
12.9,77.53,-95,3G,404,45,27809616,1000,1
12.9,77.54,-95,2G,404,86,36372,1000,1
12.9,77.54,-95,2G,404,86,39713,1000,1
12.9,77.54,-95,2G,404,86,35353,1000,1
12.9,77.54,-95,4G,404,45,835329,1000,1
12.9,77.53,-95,3G,404,45,27323243,1000,1
12.9,77.53,-95,2G,405,10,30812,1607,1
12.9,77.54,-95,3G,404,71,21458757,1000,1
12.9,77.54,-95,4G,404,45,923905,1000,1
12.9,77.54,-95,3G,404,45,27289823,1000,1
12.9,77.54,-95,2G,404,71,43283,1239,1
12.9,77.53,-95,4G,405,861,2948371,1000,1
12.9,77.54,-95,3G,404,45,27289024,1000,1
12.9,77.54,-95,2G,404,45,19253,1000,1
12.9,77.53,-95,3G,405,34,298771,1000,1
12.9,77.53,-95,3G,405,803,27295609,1000,1
12.9,77.53,-95,3G,404,86,773138,1000,1
12.9,77.53,-95,4G,405,861,1901104,1000,1
12.9,77.53,-95,4G,404,86,205731080,1000,1
12.9,77.54,-95,3G,404,45,27282235,1000,1
12.9,77.54,-95,3G,404,45,27289025,1000,1
12.9,77.54,-95,3G,404,45,28410111,1000,1
12.9,77.54,-95,3G,404,45,27282229,1000,1
12.9,77.54,-95,2G,404,45,23143,1000,1
12.9,77.54,-95,2G,404,45,19733,1000,1
12.9,77.54,-95,2G,404,86,44471,1000,1
12.9,77.54,-95,4G,404,45,492800,1000,1
12.9,77.55,-95,2G,405,34,27403,1137,1
12.9,77.54,-95,2G,404,45,7293,1000,1
12.9,77.54,-95,2G,404,86,37464,1000,1
12.9,77.54,-95,3G,404,45,27277578,1000,1
12.9,77.54,-95,2G,404,86,42321,1000,1
12.9,77.54,-95,3G,405,803,13224354,1000,1
12.9,77.54,-95,4G,404,45,615434,1000,1
12.9,77.55,-95,2G,404,45,16151,1000,1
12.9,77.55,-95,2G,404,45,61271,1000,1
12.9,77.54,-95,3G,404,45,27294029,1000,1
12.9,77.54,-95,2G,404,45,19252,1126,1
12.9,77.54,-95,2G,404,44,18062,1000,1
12.9,77.54,-95,3G,404,45,27273155,1000,1
12.9,77.55,-95,2G,404,45,61272,1000,1
12.9,77.54,-95,3G,405,34,274801,1000,1
12.9,77.54,-95,2G,404,45,14602,1000,1
12.9,77.54,-95,4G,404,45,373760,1000,1
12.9,77.54,-95,4G,404,44,11037483,1000,1
12.9,77.54,-95,4G,405,861,894513,1002,1
12.9,77.54,-95,3G,404,71,20346863,1000,1
12.9,77.54,-95,3G,404,45,27277577,1000,1
12.9,77.54,-95,3G,404,86,20534284,1000,1
12.9,77.54,-95,3G,404,86,20534286,1000,1
12.9,77.54,-95,3G,404,45,27299068,1000,1
12.9,77.54,-95,2G,404,86,35351,1000,1
12.9,77.54,-95,2G,404,86,35352,1000,1
12.9,77.54,-95,4G,405,861,279569,1000,1
12.9,77.55,-95,2G,404,86,9431,1000,1
12.9,77.55,-95,2G,404,45,23642,1000,1
12.9,77.54,-95,2G,404,86,42312,1000,1
12.9,77.55,-95,2G,405,34,45321,1000,1
12.9,77.54,-95,2G,405,34,37413,1000,1
12.9,77.54,-95,2G,404,45,53132,1369,1
12.9,77.54,-95,2G,404,44,17823,1000,1
12.9,77.54,-95,4G,405,861,2386723,1000,1
12.9,77.55,-95,2G,404,45,1531,1087,1
12.9,77.55,-95,2G,404,45,26841,1000,1
12.9,77.55,-95,2G,404,45,10172,1000,1
12.9,77.54,-95,2G,404,45,52892,1000,1
12.9,77.54,-95,2G,404,45,64743,1000,1
12.9,77.56,-95,2G,404,86,37461,1000,1
12.9,77.56,-95,2G,404,86,37462,1000,1
12.9,77.55,-95,2G,404,45,15704,1000,1
12.9,77.55,-95,2G,405,34,15703,1000,1
12.9,77.55,-95,2G,405,34,21853,1000,1
12.9,77.55,-95,2G,405,34,14093,1000,1
12.9,77.55,-95,2G,405,34,23481,1000,1
12.9,77.55,-95,2G,405,34,1531,1000,1
12.9,77.55,-95,2G,404,86,39712,1000,1
12.9,77.55,-95,2G,404,86,9581,1000,1
12.9,77.56,-95,2G,404,71,55773,1000,1
12.9,77.56,-95,4G,404,45,39168,1000,1
12.9,77.56,-95,4G,404,45,181535488,1000,1
12.9,77.56,-95,4G,404,45,559176,1000,1
12.9,77.55,-95,2G,404,45,51051,1000,1
12.9,77.55,-95,3G,404,45,27294028,1000,1
12.9,77.55,-95,3G,405,34,289311,1000,1
12.9,77.55,-95,2G,405,34,27163,1000,1
12.9,77.56,-95,3G,404,45,28391490,1000,1
12.9,77.56,-95,3G,404,45,26287228,1000,1
12.9,77.56,-95,2G,404,45,15703,1000,1
12.9,77.56,-95,3G,404,71,20346701,1000,1
12.9,77.56,-95,2G,404,71,55762,1000,1
12.9,77.56,-95,2G,405,10,30413,1000,1
12.9,77.56,-95,3G,404,45,27264507,1000,1
12.9,77.55,-95,3G,404,71,20346862,1724,1
12.9,77.56,-95,2G,405,34,45572,1000,1
12.9,77.56,-95,2G,404,71,55781,1000,1
12.9,77.56,-95,4G,405,861,281381,1928,1
12.9,77.55,-95,2G,404,45,26842,1059,1
12.9,77.55,-95,3G,404,45,27279127,1000,1
12.9,77.55,-95,3G,404,45,28392791,1000,1
12.9,77.55,-95,4G,404,45,605195,1000,1
12.9,77.56,-95,2G,404,86,35892,1000,1
12.9,77.56,-95,2G,404,86,14591,1000,1
12.9,77.56,-95,2G,404,86,14593,1000,1
12.9,77.56,-95,4G,404,45,401932,1000,1
12.9,77.56,-95,4G,404,45,605185,1000,1
12.9,77.56,-95,4G,404,45,401922,1000,1
12.9,77.56,-95,4G,405,861,18225,1000,1
12.9,77.56,-95,4G,405,861,275505,1000,1
12.9,77.56,-95,2G,404,45,15701,1000,1
12.9,77.56,-95,4G,405,861,279344,1000,1
12.9,77.56,-95,3G,404,71,20347203,1000,1
12.9,77.56,-95,2G,405,803,17593,1000,1
12.9,77.56,-95,4G,404,45,401921,1000,1
12.9,77.56,-95,4G,404,45,186625,1000,1
12.9,77.56,-95,2G,405,10,61483,1000,1
12.9,77.56,-95,3G,404,71,21458398,1000,1
12.9,77.56,-95,3G,404,71,20346722,1000,1
12.9,77.56,-95,4G,404,86,205758728,1000,1
12.9,77.56,-95,2G,404,45,21843,1000,1
12.9,77.56,-95,3G,404,45,27264514,1000,1
12.9,77.56,-95,3G,405,34,292609,1000,1
12.9,77.56,-95,4G,404,45,559106,1000,1
12.9,77.56,-95,3G,404,45,28398937,1000,1
12.9,77.56,-95,4G,405,861,109072,1000,1
12.9,77.56,-95,2G,404,86,42332,1000,1
12.9,77.56,-95,2G,404,86,37451,1000,1
12.9,77.56,-95,3G,404,45,28398930,1000,1
12.9,77.57,-95,2G,404,86,6172,1000,1
12.9,77.57,-95,3G,404,45,26294827,1000,1
12.9,77.57,-95,2G,404,44,40511,1000,1
12.9,77.57,-95,4G,404,45,559105,1000,1
12.9,77.57,-95,2G,404,86,45011,1000,1
12.9,77.57,-95,3G,404,45,26301778,1000,1
12.9,77.56,-95,2G,404,45,31011,1000,1
12.9,77.56,-95,3G,404,71,21457818,1000,1
12.9,77.56,-95,2G,404,44,17911,1000,1
12.9,77.56,-95,2G,404,86,37453,1000,1
12.9,77.57,-95,2G,404,44,41433,1000,1
12.9,77.56,-95,2G,404,45,15681,1000,1
12.9,77.56,-95,3G,405,34,293461,1000,1
12.9,77.56,-95,3G,404,45,26293769,1000,1
12.9,77.56,-95,4G,404,45,263938,1000,1
12.9,77.56,-95,2G,405,34,30463,1000,1
12.9,77.56,-95,2G,405,10,61481,1000,1
12.9,77.56,-95,2G,404,45,15702,1000,1
12.9,77.56,-95,4G,404,45,186635,1000,1
12.9,77.56,-95,4G,404,45,929025,1000,1
12.9,77.56,-95,2G,404,44,17053,1000,1
12.9,77.56,-95,4G,404,86,205214472,1000,1
12.9,77.56,-95,3G,404,45,28390921,1000,1
12.9,77.56,-95,3G,404,45,28413380,1000,1
12.9,77.56,-95,4G,405,861,108561,1000,1
12.9,77.56,-95,2G,404,45,36292,1000,1
12.9,77.56,-95,4G,405,861,108580,1000,1
12.9,77.56,-95,2G,404,44,33682,1000,1
12.9,77.57,-95,3G,404,45,26287999,1000,1
12.9,77.56,-95,2G,404,45,13833,1000,1
12.9,77.56,-95,2G,404,44,18312,1000,1
12.9,77.56,-95,2G,404,45,15843,1132,1
12.9,77.56,-95,2G,405,34,31101,1000,1
12.9,77.56,-95,4G,404,45,401931,1000,1
12.9,77.57,-95,2G,405,10,61262,1000,1
12.9,77.57,-95,4G,404,86,206417672,1000,1
12.9,77.57,-95,3G,404,71,20346442,1000,1
12.9,77.57,-95,3G,404,45,28385156,1000,1
12.9,77.57,-95,2G,404,86,38151,1000,1
12.9,77.57,-95,3G,404,45,28385150,1000,1
12.9,77.57,-95,4G,404,45,206337,1000,1
12.9,77.58,-95,2G,404,44,41632,1000,1
12.9,77.58,-95,2G,405,803,12762,1000,1
12.9,77.57,-95,2G,404,86,23812,1000,1
12.9,77.57,-95,2G,404,45,28471,1000,1
12.9,77.57,-95,4G,404,86,205045768,1000,1
12.9,77.57,-95,2G,405,10,60762,1000,1
12.9,77.57,-95,2G,404,45,33682,1000,1
12.9,77.57,-95,2G,404,45,40293,1000,1
12.9,77.57,-95,2G,404,45,40463,1000,1
12.9,77.57,-95,2G,404,45,40462,1000,1
12.9,77.57,-95,3G,404,71,55102,1000,1
12.9,77.57,-95,4G,404,45,206347,1000,1
12.9,77.57,-95,3G,404,86,20547104,1000,1
12.9,77.57,-95,3G,404,86,20542584,1000,1
12.9,77.57,-95,2G,404,45,41433,1000,1
12.9,77.57,-95,2G,404,45,18072,1000,1
12.9,77.57,-95,3G,404,45,26294027,1000,1
12.9,77.57,-95,2G,405,34,31093,1000,1
12.9,77.57,-95,2G,405,34,36681,1000,1
12.9,77.57,-95,2G,405,803,23902,1000,1
12.9,77.57,-95,2G,405,803,12763,1000,1
12.9,77.57,-95,2G,404,45,2081,1000,1
12.9,77.57,-95,2G,404,45,14093,1000,1
12.9,77.57,-95,2G,404,45,14091,1000,1
12.9,77.57,-95,4G,405,861,740625,1000,1
12.9,77.57,-95,2G,404,45,8062,1000,1
12.9,77.58,-95,4G,404,45,185346,1000,1
12.9,77.57,-95,2G,405,34,31151,1000,1
12.9,77.57,-95,2G,404,44,40282,1000,1
12.9,77.57,-95,4G,404,45,174803468,1000,1
12.9,77.57,-95,2G,405,803,13211,1000,1
12.9,77.57,-95,2G,404,86,9603,1000,1
12.9,77.57,-95,2G,404,44,41782,1000,1
12.9,77.57,-95,3G,404,45,28380420,1000,1
12.9,77.57,-95,2G,405,34,31152,1000,1
12.9,77.57,-95,2G,405,34,27841,1000,1
12.9,77.57,-95,3G,404,71,20347361,1000,1
12.9,77.58,-95,2G,404,71,55503,1000,1
12.9,77.57,-95,2G,404,86,16892,1000,1
12.9,77.57,-95,2G,404,86,16893,1000,1
12.9,77.58,-95,2G,404,45,15792,1000,1
12.9,77.58,-95,2G,404,71,55173,1000,1
12.9,77.59,-95,2G,404,45,2362,1000,1
12.9,77.59,-95,2G,404,86,39751,1000,1
12.9,77.58,-95,2G,404,86,26902,1000,1
12.9,77.58,-95,3G,405,34,275131,1000,1
12.9,77.58,-95,2G,404,45,15942,1000,1
12.9,77.58,-95,3G,404,45,26341347,1000,1
12.9,77.58,-95,3G,404,45,26295879,1000,1
12.9,77.58,-95,3G,404,45,27270227,1000,1
12.9,77.58,-95,3G,405,803,13186593,1000,1
12.9,77.58,-95,4G,404,86,205029896,1000,1
12.9,77.58,-95,2G,404,86,8983,1000,1
12.9,77.58,-95,2G,404,86,13261,1000,1
12.9,77.58,-95,2G,405,803,28392,1000,1
12.9,77.58,-95,4G,404,45,408076,1000,1
12.9,77.58,-95,2G,404,86,8984,1000,1
12.9,77.58,-95,3G,404,45,26295885,1000,1
12.9,77.58,-95,4G,404,45,408064,1000,1
12.9,77.58,-95,4G,404,45,408066,1000,1
12.9,77.58,-95,2G,404,45,14381,1000,1
12.9,77.58,-95,3G,404,45,26295878,1000,1
12.9,77.58,-95,2G,404,86,29222,1000,1
12.9,77.58,-95,3G,405,803,13183544,1000,1
12.9,77.59,-95,3G,405,34,307599,1000,1
12.9,77.59,-95,3G,404,45,27277317,1000,1
12.9,77.59,-95,2G,405,34,43903,1000,1
12.9,77.59,-95,2G,404,86,17693,1000,1
12.9,77.59,-95,4G,404,86,205252871,1000,1
12.9,77.59,-95,3G,404,45,26286973,1000,1
12.9,77.59,-95,4G,404,86,205252870,1000,1
12.9,77.59,-95,4G,405,861,1051186,1000,1
12.9,77.59,-95,2G,404,45,47343,1000,1
12.9,77.59,-95,3G,405,34,305761,1000,1
12.9,77.59,-95,2G,405,803,13022,1000,1
12.9,77.59,-95,2G,405,34,9221,1000,1
12.9,77.59,-95,3G,405,34,307601,1000,1
12.9,77.58,-95,2G,404,86,3973,1000,1
12.9,77.58,-95,2G,404,86,8982,1000,1
12.9,77.59,-95,4G,404,45,60427,1000,1
12.9,77.59,-95,4G,404,45,179968,1000,1
12.9,77.59,-95,3G,404,45,26303179,1000,1
12.9,77.59,-95,3G,404,45,26282302,1000,1
12.9,77.59,-95,2G,404,45,60417,1000,1
12.9,77.58,-95,4G,404,86,204851464,1000,1
12.9,77.59,-95,2G,404,86,6073,1000,1
12.9,77.59,-95,2G,405,803,27603,1000,1
12.9,77.59,-95,4G,404,45,622848,1000,1
12.9,77.59,-95,3G,404,45,26292809,1000,1
12.9,77.59,-95,4G,404,45,329474,1000,1
12.9,77.59,-95,2G,404,86,12603,1000,1
12.9,77.59,-95,2G,404,45,7223,1000,1
12.9,77.6,-95,4G,404,45,1040138,1000,1
12.9,77.6,-95,4G,404,45,877057,1000,1
12.9,77.6,-95,4G,404,45,377090,1000,1
12.9,77.6,-95,4G,404,45,377100,1000,1
12.9,77.6,-95,2G,404,86,2353,1000,1
12.9,77.6,-95,2G,404,45,14733,1000,1
12.9,77.59,-95,3G,405,34,305759,1000,1
12.9,77.59,-95,3G,404,45,26313058,1000,1
12.9,77.59,-95,2G,404,86,45503,1000,1
12.9,77.59,-95,4G,404,86,205964807,1000,1
12.9,77.59,-95,3G,404,71,21457528,1000,1
12.9,77.59,-95,2G,404,86,45502,1000,1
12.9,77.59,-95,2G,404,86,10472,1000,1
12.9,77.59,-95,4G,404,45,329484,1000,1
12.9,77.59,-95,2G,404,86,6072,1000,1
12.9,77.59,-95,4G,404,45,329483,1000,1
12.9,77.6,-95,2G,404,45,46231,1000,1
12.9,77.6,-95,2G,404,86,2412,1000,1
12.9,77.6,-95,4G,404,86,205122567,1000,1
12.9,77.6,-95,3G,404,45,26328834,1000,1
12.9,77.6,-95,4G,405,861,2427410,1000,1
12.9,77.6,-95,2G,404,86,12602,1000,1
12.9,77.6,-95,2G,404,86,3981,1000,1
12.9,77.6,-95,2G,404,86,37711,1000,1
12.9,77.6,-95,2G,404,86,42202,1000,1
12.9,77.6,-95,2G,404,86,9743,1000,1
12.9,77.6,-95,2G,404,86,12601,1000,1
12.9,77.6,-95,2G,404,86,37712,1000,1
12.9,77.6,-95,2G,404,86,49772,1000,1
12.9,77.6,-95,4G,404,45,231534592,1000,1
12.9,77.6,-95,3G,404,45,26320573,1000,1
12.9,77.6,-95,2G,404,45,40631,1000,1
12.9,77.6,-95,2G,404,45,44321,1000,1
12.9,77.6,-95,2G,404,45,48892,1000,1
12.9,77.6,-95,3G,404,45,26326167,1000,1
12.9,77.6,-95,4G,404,45,629761,1000,1
12.9,77.6,-95,3G,404,45,26304544,1000,1
12.9,77.6,-95,4G,404,45,46743819,1000,1
12.9,77.6,-95,2G,404,45,43531,1000,1
12.9,77.6,-95,3G,404,45,26294674,1000,1
12.9,77.6,-95,2G,404,86,6083,1000,1
12.9,77.6,-95,4G,405,861,1647888,1000,1
12.9,77.61,-95,2G,404,86,9742,1000,1
12.9,77.61,-95,2G,405,10,60362,1000,1
12.9,77.61,-95,4G,405,861,162064,1000,1
12.9,77.61,-95,4G,404,45,389632,1000,1
12.9,77.6,-95,2G,405,10,60363,1000,1
12.9,77.6,-95,3G,404,71,20346851,1000,1
12.9,77.6,-95,2G,404,44,41142,1000,1
12.9,77.6,-95,2G,404,86,42201,1000,1
12.9,77.6,-95,4G,404,44,11089449,1000,1
12.9,77.6,-95,4G,404,45,377089,1000,1
12.9,77.6,-95,2G,404,45,14731,1000,1
12.9,77.6,-95,2G,404,86,12462,1000,1
12.9,77.6,-95,3G,404,86,20524955,1000,1
12.9,77.6,-95,2G,404,45,24602,1000,1
12.9,77.6,-95,3G,404,86,20551704,1000,1
12.9,77.6,-95,3G,404,86,20551707,1000,1
12.9,77.6,-95,4G,404,45,377099,1000,1
12.9,77.6,-95,3G,404,45,10763,1000,1
12.9,77.6,-95,4G,404,86,205118984,1000,1
12.9,77.6,-95,3G,404,45,26344953,1000,1
12.9,77.6,-95,4G,405,861,871441,1000,1
12.9,77.6,-95,4G,404,45,377098,1000,1
12.9,77.6,-95,4G,405,861,871443,1000,1
12.9,77.6,-95,3G,404,45,26287979,1000,1
12.9,77.6,-95,2G,404,45,8043,1000,1
12.9,77.6,-95,2G,404,45,8041,1000,1
12.9,77.6,-95,2G,404,45,33502,1000,1
12.9,77.6,-95,2G,404,86,49773,1000,1
12.9,77.6,-95,2G,404,86,9741,1000,1
12.9,77.6,-95,4G,405,861,1895216,1000,1
12.9,77.6,-95,3G,404,71,20346903,1000,1
12.9,77.6,-95,3G,405,34,306061,1000,1
12.9,77.6,-95,2G,405,803,62723,1000,1
12.9,77.6,-95,3G,404,71,21457318,1000,1
12.9,77.6,-95,3G,404,45,9741,1000,1
12.9,77.6,-95,4G,404,86,205049350,1000,1
12.9,77.6,-95,3G,404,86,20574876,1000,1
12.9,77.61,-95,2G,405,34,43852,1000,1
12.9,77.62,-95,2G,404,86,17453,1000,1
12.9,77.62,-95,2G,404,86,45481,1000,1
12.9,77.62,-95,3G,404,45,27287555,1000,1
12.9,77.62,-95,2G,404,86,35222,1000,1
12.9,77.62,-95,3G,404,45,27317003,1000,1
12.9,77.62,-95,2G,404,86,21963,1000,1
12.9,77.61,-95,2G,404,45,60151,1000,1
12.9,77.61,-95,2G,404,86,16582,1000,1
12.9,77.61,-95,2G,404,86,28863,1000,1
12.9,77.61,-95,2G,404,86,28862,1000,1
12.9,77.62,-95,3G,404,45,26292818,1000,1
12.9,77.62,-95,2G,404,86,21902,1000,1
12.9,77.62,-95,2G,404,86,21903,1000,1
12.9,77.62,-95,2G,404,45,24573,1000,1
12.9,77.62,-95,2G,405,34,31173,1000,1
12.9,77.62,-95,2G,405,34,54912,1000,1
12.9,77.62,-95,3G,405,34,168198,1000,1
12.9,77.62,-95,2G,404,45,24572,1000,1
12.9,77.62,-95,2G,404,44,41862,1000,1
12.9,77.62,-95,4G,405,861,20272,1000,1
12.9,77.61,-95,3G,404,71,21458726,1000,1
12.9,77.61,-95,3G,404,45,26341754,1000,1
12.9,77.61,-95,2G,404,44,40061,1000,1
12.9,77.62,-95,2G,405,803,27923,1000,1
12.9,77.61,-95,3G,404,45,27323128,7642,1
12.9,77.61,-95,2G,405,34,30172,1000,1
12.9,77.62,-95,4G,404,86,205701638,1000,1
12.9,77.61,-95,2G,404,45,61072,1748,1
12.9,77.62,-95,3G,404,45,27287547,1000,1
