mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,network_type
404,472,3575,47507,0,77.652188,12.856369,1733,13,1,1680000000,1700000000,-97.9,LTE
404,472,6758,65038,0,77.511863,12.829176,1237,2,1,1680000000,1700000000,-115.7,GSM
404,472,3730,54005,0,77.676244,13.079082,1516,1,1,1680000000,1700000000,-108.3,UMTS
405,472,7534,36509,0,77.665584,12.821653,727,20,1,1680000000,1700000000,-101.7,LTE
404,472,8033,37241,0,77.620009,12.923096,1583,9,1,1680000000,1700000000,-104.3,LTE
404,20,3039,40618,0,77.704083,12.994793,128,5,1,1680000000,1700000000,-87.7,UMTS
404,472,9505,38268,0,77.524514,12.960514,1061,8,1,1680000000,1700000000,-101.9,LTE
405,472,1313,76631,0,77.536282,12.939357,1389,1,1,1680000000,1700000000,-102.1,UMTS
404,10,9243,55548,0,77.460691,13.043226,1341,1,1,1680000000,1700000000,-113.0,GSM
405,472,9416,82399,0,77.647367,12.998063,223,12,1,1680000000,1700000000,-105.4,LTE
405,20,1430,21585,0,77.696036,13.004815,591,2,1,1680000000,1700000000,-93.1,UMTS
404,472,3924,35675,0,77.466531,12.911595,1713,4,1,1680000000,1700000000,-102.0,LTE
405,1,9022,30466,0,77.635916,13.095624,1426,4,1,1680000000,1700000000,-102.6,GSM
405,20,5082,92715,0,77.630147,12.992345,924,6,1,1680000000,1700000000,-98.0,UMTS
405,472,1596,31005,0,77.555885,12.921294,1480,10,1,1680000000,1700000000,-115.9,GSM
404,472,8602,86394,0,77.63008,13.117979,1005,1,1,1680000000,1700000000,-113.0,GSM
404,20,5800,54523,0,77.472596,13.158036,782,4,1,1680000000,1700000000,-115.6,GSM
404,20,4235,43372,0,77.54906,13.071269,337,8,1,1680000000,1700000000,-102.0,GSM
405,20,8267,82973,0,77.56169,12.915708,1005,4,1,1680000000,1700000000,-101.9,LTE
404,20,9124,2792,0,77.620474,12.978502,1231,10,1,1680000000,1700000000,-78.3,LTE
405,472,2622,66323,0,77.48988,12.903995,1567,2,1,1680000000,1700000000,-106.2,UMTS
404,472,3222,79561,0,77.682165,12.845931,1140,17,1,1680000000,1700000000,-102.7,LTE
405,472,4734,96164,0,77.648241,13.06397,711,19,1,1680000000,1700000000,-105.3,UMTS
405,20,5372,25727,0,77.631969,13.118738,1528,3,1,1680000000,1700000000,-118.7,GSM
405,10,6346,51604,0,77.553188,12.819403,1459,3,1,1680000000,1700000000,-102.0,UMTS
405,472,2461,54736,0,77.683306,13.058927,1883,1,1,1680000000,1700000000,-92.5,UMTS
405,472,8094,71912,0,77.564545,13.081346,173,13,1,1680000000,1700000000,-82.3,LTE
404,472,2825,91964,0,77.493908,13.00873,713,1,1,1680000000,1700000000,-104.5,UMTS
405,472,4100,70621,0,77.418396,13.151712,943,3,1,1680000000,1700000000,-101.6,UMTS
404,20,9654,19758,0,77.717008,12.982964,575,10,1,1680000000,1700000000,-79.4,LTE
405,10,9055,21706,0,77.501591,12.930575,251,3,1,1680000000,1700000000,-77.3,NR
404,20,8016,14979,0,77.538226,12.920865,585,3,1,1680000000,1700000000,-114.9,GSM
404,10,6584,36976,0,77.543584,12.890682,116,3,1,1680000000,1700000000,-97.3,LTE
405,472,5872,29705,0,77.67432,12.982965,1403,8,1,1680000000,1700000000,-88.1,UMTS
404,20,745,41492,0,77.500251,12.795066,1715,2,1,1680000000,1700000000,-107.9,GSM
404,20,2265,71701,0,77.63183,12.920412,1894,16,1,1680000000,1700000000,-80.6,LTE
405,10,5649,16095,0,77.612341,13.185745,1059,3,1,1680000000,1700000000,-106.4,GSM
404,20,328,35663,0,77.456303,13.181447,1198,3,1,1680000000,1700000000,-113.6,GSM
405,10,3930,62797,0,77.547434,12.761794,151,4,1,1680000000,1700000000,-120.0,UMTS
405,10,6789,16292,0,77.777268,13.009773,386,8,1,1680000000,1700000000,-110.4,UMTS
404,10,7532,49629,0,77.414885,12.722673,1473,2,1,1680000000,1700000000,-108.4,LTE
405,472,6170,29477,0,77.646851,12.838875,1008,16,1,1680000000,1700000000,-88.1,LTE
405,472,5976,8936,0,77.494445,12.922348,915,24,1,1680000000,1700000000,-83.7,LTE
404,472,4090,17505,0,77.787283,12.837941,1711,1,1,1680000000,1700000000,-105.4,GSM
404,10,2517,79116,0,77.427444,12.982289,105,2,1,1680000000,1700000000,-102.0,UMTS
404,472,5969,32186,0,77.793611,12.838637,1305,1,1,1680000000,1700000000,-103.8,UMTS
405,10,9826,15293,0,77.679635,12.908952,1025,8,1,1680000000,1700000000,-90.2,NR
405,1,610,8972,0,77.778166,12.951919,1080,9,1,1680000000,1700000000,-91.9,NR
404,472,5377,80730,0,77.570509,13.123649,403,8,1,1680000000,1700000000,-108.8,LTE
405,10,7148,13999,0,77.510006,12.732841,1724,3,1,1680000000,1700000000,-116.8,UMTS
405,20,3843,55239,0,77.741117,13.05089,794,2,1,1680000000,1700000000,-87.0,GSM
405,472,7870,9799,0,77.559492,13.11371,286,5,1,1680000000,1700000000,-104.7,UMTS
405,472,2102,54845,0,77.681173,12.939193,824,9,1,1680000000,1700000000,-91.0,NR
405,472,1873,46890,0,77.696279,12.938743,1831,3,1,1680000000,1700000000,-90.0,LTE
404,472,4481,4794,0,77.782619,13.004412,469,10,1,1680000000,1700000000,-120.0,GSM
405,1,2424,98120,0,77.704964,12.836635,1396,3,1,1680000000,1700000000,-110.0,GSM
404,20,2649,21632,0,77.548012,13.103079,1645,6,1,1680000000,1700000000,-100.8,UMTS
405,10,3631,99951,0,77.669587,13.008919,1149,17,1,1680000000,1700000000,-99.7,LTE
405,20,997,2007,0,77.627361,12.828605,518,4,1,1680000000,1700000000,-105.2,LTE
404,20,9254,88562,0,77.616606,13.030839,1751,20,1,1680000000,1700000000,-95.9,LTE
404,472,1375,42033,0,77.558828,12.877084,1279,7,1,1680000000,1700000000,-104.6,GSM
404,20,7638,91388,0,77.561769,12.914642,1983,6,1,1680000000,1700000000,-99.2,UMTS
405,10,1388,52873,0,77.574685,12.880926,1882,7,1,1680000000,1700000000,-84.4,LTE
404,20,1784,20194,0,77.666957,13.028654,624,6,1,1680000000,1700000000,-91.8,LTE
405,20,9336,76952,0,77.64096,12.798636,1019,2,1,1680000000,1700000000,-96.9,GSM
404,472,1218,62462,0,77.752819,13.040567,1005,3,1,1680000000,1700000000,-119.4,GSM
404,472,7665,60233,0,77.718532,13.015693,177,3,1,1680000000,1700000000,-84.6,UMTS
405,472,3184,43143,0,77.548027,12.993781,1339,4,1,1680000000,1700000000,-98.5,LTE
404,10,4159,93749,0,77.652895,12.970187,996,5,1,1680000000,1700000000,-110.0,GSM
404,20,5582,9639,0,77.609627,13.195493,775,3,1,1680000000,1700000000,-98.1,UMTS
405,20,9647,87980,0,77.726928,12.908284,389,2,1,1680000000,1700000000,-120.0,GSM
405,472,6271,85343,0,77.524093,13.158373,1721,1,1,1680000000,1700000000,-102.6,GSM
405,10,6028,3389,0,77.451118,12.864238,842,1,1,1680000000,1700000000,-104.3,GSM
404,10,5617,82006,0,77.641976,13.037148,368,2,1,1680000000,1700000000,-83.1,LTE
404,472,6068,89652,0,77.695772,12.941578,1573,8,1,1680000000,1700000000,-112.9,LTE
405,472,9445,58749,0,77.67287,12.923694,1045,4,1,1680000000,1700000000,-83.2,LTE
405,472,7973,49655,0,77.652057,13.067672,1235,7,1,1680000000,1700000000,-101.7,UMTS
404,1,7491,46820,0,77.690646,12.920365,154,16,1,1680000000,1700000000,-83.5,NR
404,472,3778,4694,0,77.558582,12.907448,752,7,1,1680000000,1700000000,-95.6,LTE
404,10,7785,59799,0,77.735671,13.165413,1360,4,1,1680000000,1700000000,-105.7,GSM
404,20,3993,40472,0,77.594832,13.00002,349,16,1,1680000000,1700000000,-76.5,UMTS
404,472,2452,39177,0,77.56793,12.723875,979,1,1,1680000000,1700000000,-91.7,UMTS
405,1,8718,72313,0,77.541126,12.700782,1139,1,1,1680000000,1700000000,-93.9,UMTS
405,1,366,47805,0,77.603049,13.093206,1714,7,1,1680000000,1700000000,-89.4,NR
404,472,5872,72567,0,77.49645,12.73378,793,3,1,1680000000,1700000000,-102.7,LTE
404,10,7598,5847,0,77.470036,13.106754,700,2,1,1680000000,1700000000,-108.8,UMTS
405,472,7856,34202,0,77.716444,12.800795,174,3,1,1680000000,1700000000,-106.7,UMTS
405,472,5654,25486,0,77.653826,13.104639,1116,4,1,1680000000,1700000000,-102.4,UMTS
405,472,7155,79964,0,77.546939,13.046034,1784,1,1,1680000000,1700000000,-113.0,UMTS
405,10,5876,81589,0,77.5568,12.886464,990,6,1,1680000000,1700000000,-110.3,UMTS
405,10,2721,5081,0,77.792011,12.837278,392,4,1,1680000000,1700000000,-95.5,LTE
404,472,7471,49623,0,77.669275,13.041747,861,10,1,1680000000,1700000000,-111.3,UMTS
404,472,3148,66410,0,77.542849,12.928806,1160,1,1,1680000000,1700000000,-98.1,UMTS
405,1,8147,27237,0,77.624669,12.893494,351,10,1,1680000000,1700000000,-97.9,LTE
405,472,1163,73089,0,77.680317,12.94604,1210,3,1,1680000000,1700000000,-103.1,UMTS
404,472,8194,4445,0,77.67492,12.950695,839,4,1,1680000000,1700000000,-111.6,GSM
404,10,1512,9617,0,77.547564,12.977011,733,20,1,1680000000,1700000000,-86.8,LTE
404,1,5294,85192,0,77.686773,12.89908,251,10,1,1680000000,1700000000,-105.0,LTE
404,472,2214,57704,0,77.672044,12.924987,1129,9,1,1680000000,1700000000,-92.8,LTE
405,10,4205,26729,0,77.663217,12.970468,1400,19,1,1680000000,1700000000,-96.5,GSM
404,20,9613,21210,0,77.50978,13.178176,450,1,1,1680000000,1700000000,-96.0,GSM
404,472,9549,35688,0,77.688253,13.029366,1433,1,1,1680000000,1700000000,-120.0,GSM
405,20,4112,90783,0,77.628855,12.805404,931,3,1,1680000000,1700000000,-99.6,LTE
405,472,2242,49567,0,77.518084,12.894148,1154,6,1,1680000000,1700000000,-98.8,UMTS
405,10,2408,13689,0,77.527646,12.980826,203,5,1,1680000000,1700000000,-81.5,LTE
405,10,2710,66308,0,77.55366,12.845106,1154,3,1,1680000000,1700000000,-101.9,UMTS
405,10,7591,32552,0,77.75163,12.933408,540,2,1,1680000000,1700000000,-100.2,LTE
404,472,6092,53855,0,77.630721,12.883079,849,4,1,1680000000,1700000000,-119.3,UMTS
404,20,8361,60028,0,77.420463,12.722621,1665,3,1,1680000000,1700000000,-108.5,UMTS
405,472,5655,74116,0,77.730125,12.974929,848,6,1,1680000000,1700000000,-92.4,LTE
405,472,8546,19321,0,77.658729,12.99921,771,18,1,1680000000,1700000000,-92.6,LTE
405,472,372,49281,0,77.636344,12.837738,778,10,1,1680000000,1700000000,-93.1,LTE
405,10,9577,76711,0,77.791959,13.036903,566,1,1,1680000000,1700000000,-118.7,GSM
404,10,4068,5138,0,77.633409,13.0607,1272,15,1,1680000000,1700000000,-96.3,NR
404,472,2362,68984,0,77.55118,12.868749,524,4,1,1680000000,1700000000,-101.0,UMTS
405,10,5904,89587,0,77.799249,12.980443,1681,8,1,1680000000,1700000000,-116.5,UMTS
404,472,4671,74149,0,77.672298,13.133827,711,4,1,1680000000,1700000000,-91.0,UMTS
405,10,9495,89686,0,77.538203,13.018678,1212,3,1,1680000000,1700000000,-115.2,UMTS
405,472,4812,94603,0,77.792064,12.889847,261,2,1,1680000000,1700000000,-106.2,GSM
405,10,4550,18992,0,77.57695,12.873182,323,9,1,1680000000,1700000000,-100.9,LTE
404,472,3914,7880,0,77.634732,13.007839,305,24,1,1680000000,1700000000,-92.9,LTE
404,1,7893,63580,0,77.686943,12.906651,1432,20,1,1680000000,1700000000,-95.5,LTE
404,472,6946,24040,0,77.711019,12.856766,1983,4,1,1680000000,1700000000,-98.9,UMTS
404,472,4988,75443,0,77.734481,12.71817,1334,3,1,1680000000,1700000000,-105.1,UMTS
405,472,1945,44343,0,77.624027,12.79508,432,4,1,1680000000,1700000000,-106.6,GSM
404,1,6743,57059,0,77.659314,13.06556,1155,5,1,1680000000,1700000000,-92.8,UMTS
404,20,4474,44204,0,77.547996,12.981606,718,15,1,1680000000,1700000000,-79.4,NR
404,472,5126,21934,0,77.629151,12.99123,930,24,1,1680000000,1700000000,-87.7,NR
405,10,3718,29721,0,77.769242,13.043037,373,1,1,1680000000,1700000000,-105.5,GSM
404,20,4154,90173,0,77.581991,12.939091,1645,8,1,1680000000,1700000000,-108.3,GSM
405,10,9343,15707,0,77.714948,12.997907,226,9,1,1680000000,1700000000,-87.6,LTE
405,10,8461,59390,0,77.673072,13.026796,1756,10,1,1680000000,1700000000,-93.5,LTE
405,472,149,98754,0,77.711663,12.858096,546,1,1,1680000000,1700000000,-105.9,GSM
405,472,2318,85085,0,77.620793,12.921567,1593,12,1,1680000000,1700000000,-80.2,UMTS
405,20,6254,11518,0,77.568145,13.02294,1498,7,1,1680000000,1700000000,-105.3,GSM
404,1,472,40107,0,77.566397,12.968434,1048,10,1,1680000000,1700000000,-100.5,LTE
404,10,5771,21332,0,77.617778,13.03675,664,10,1,1680000000,1700000000,-94.6,LTE
404,472,1202,14224,0,77.750083,12.79424,1316,1,1,1680000000,1700000000,-106.9,LTE
405,472,3939,71747,0,77.639114,12.716788,544,1,1,1680000000,1700000000,-101.8,LTE
404,20,2447,87535,0,77.685673,13.044654,1167,3,1,1680000000,1700000000,-120.0,GSM
405,20,5742,85320,0,77.734115,12.807799,1474,4,1,1680000000,1700000000,-120.0,GSM
405,20,3792,40418,0,77.609785,12.890577,1856,3,1,1680000000,1700000000,-106.9,UMTS
404,20,4078,34422,0,77.72231,13.053788,516,4,1,1680000000,1700000000,-106.3,GSM
404,10,3182,78015,0,77.608204,12.943958,1583,22,1,1680000000,1700000000,-88.5,LTE
404,472,7946,32797,0,77.557019,12.948568,1524,4,1,1680000000,1700000000,-77.8,LTE
405,472,5992,68215,0,77.481805,13.002201,1907,3,1,1680000000,1700000000,-108.7,GSM
404,20,5226,55254,0,77.439443,12.948639,193,3,1,1680000000,1700000000,-112.7,UMTS
405,10,4126,66444,0,77.579584,12.985765,1227,10,1,1680000000,1700000000,-86.1,LTE
405,472,2856,97045,0,77.673939,13.027304,1728,8,1,1680000000,1700000000,-92.8,LTE
404,472,204,55053,0,77.615864,13.021736,381,5,1,1680000000,1700000000,-95.1,UMTS
405,10,8016,87413,0,77.492573,13.121272,1099,4,1,1680000000,1700000000,-100.2,LTE
404,472,1678,69732,0,77.587529,12.933782,404,7,1,1680000000,1700000000,-86.5,GSM
405,472,1394,49896,0,77.647912,12.820484,931,6,1,1680000000,1700000000,-95.3,LTE
404,10,6740,50710,0,77.497283,12.929499,872,5,1,1680000000,1700000000,-93.5,LTE
404,10,797,31115,0,77.707886,13.04979,532,3,1,1680000000,1700000000,-102.3,GSM
404,10,5252,3052,0,77.676915,13.150636,524,3,1,1680000000,1700000000,-94.2,UMTS
404,472,2761,74919,0,77.700902,12.993518,592,4,1,1680000000,1700000000,-113.9,GSM
404,20,5766,8038,0,77.739777,12.983348,300,7,1,1680000000,1700000000,-95.7,LTE
405,472,585,84115,0,77.73547,12.918544,659,10,1,1680000000,1700000000,-103.2,UMTS
405,472,4939,33302,0,77.58022,13.091774,1560,8,1,1680000000,1700000000,-94.5,NR
404,20,5150,59292,0,77.605011,13.049844,837,6,1,1680000000,1700000000,-100.6,LTE
405,10,302,39253,0,77.596075,13.034423,947,5,1,1680000000,1700000000,-79.1,LTE
404,20,6337,23216,0,77.43388,12.8939,384,2,1,1680000000,1700000000,-109.2,GSM
405,10,3303,61012,0,77.657488,12.94005,319,4,1,1680000000,1700000000,-88.3,LTE
405,10,9838,18842,0,77.507929,12.991324,715,3,1,1680000000,1700000000,-114.9,UMTS
404,472,6261,37739,0,77.608975,12.915164,1772,10,1,1680000000,1700000000,-91.2,LTE
404,472,9112,4527,0,77.546006,13.092933,1589,4,1,1680000000,1700000000,-117.8,GSM
405,472,5061,32722,0,77.683347,12.930811,617,16,1,1680000000,1700000000,-98.4,LTE
405,472,8400,91663,0,77.686095,13.029331,956,4,1,1680000000,1700000000,-89.1,LTE
404,1,4167,87193,0,77.716288,12.971823,1461,2,1,1680000000,1700000000,-85.3,LTE
405,472,5532,57420,0,77.6588,12.877504,316,23,1,1680000000,1700000000,-96.3,NR
404,20,502,64277,0,77.632603,12.964387,314,24,1,1680000000,1700000000,-89.8,NR
404,10,8012,46652,0,77.566474,13.005374,1075,8,1,1680000000,1700000000,-95.9,LTE
404,20,4096,68632,0,77.693715,12.912551,457,24,1,1680000000,1700000000,-83.0,NR
404,10,3122,25430,0,77.532396,12.975955,1411,17,1,1680000000,1700000000,-101.6,LTE
405,10,3619,27972,0,77.558233,13.028654,670,7,1,1680000000,1700000000,-100.3,GSM
405,10,4398,88910,0,77.639589,12.905904,1866,4,1,1680000000,1700000000,-103.0,LTE
405,472,7601,81918,0,77.786367,12.944742,453,2,1,1680000000,1700000000,-101.8,LTE
405,20,3099,49929,0,77.619598,12.86572,1520,2,1,1680000000,1700000000,-111.4,UMTS
404,472,4832,19388,0,77.555385,12.770679,483,2,1,1680000000,1700000000,-118.2,GSM
405,472,8156,55477,0,77.61517,12.918182,1554,15,1,1680000000,1700000000,-90.3,LTE
404,10,3783,71465,0,77.59548,13.119946,691,5,1,1680000000,1700000000,-90.7,LTE
404,472,8998,49085,0,77.582929,12.784104,1210,1,1,1680000000,1700000000,-107.4,GSM
405,1,7468,35447,0,77.416644,13.111305,813,2,1,1680000000,1700000000,-101.3,UMTS
404,1,9732,91326,0,77.434793,13.1311,818,2,1,1680000000,1700000000,-101.2,LTE
404,1,4894,38923,0,77.690886,12.857448,1272,5,1,1680000000,1700000000,-89.5,LTE
404,472,6843,8770,0,77.743207,12.833672,667,1,1,1680000000,1700000000,-107.3,GSM
405,472,9560,83890,0,77.450755,13.133524,650,4,1,1680000000,1700000000,-108.6,UMTS
405,1,4658,92056,0,77.550069,13.013906,1896,2,1,1680000000,1700000000,-113.1,LTE
404,10,6616,29551,0,77.526344,13.034821,979,3,1,1680000000,1700000000,-89.8,LTE
405,1,9568,18117,0,77.597886,13.112424,1259,5,1,1680000000,1700000000,-100.2,LTE
404,1,2688,58840,0,77.715321,13.126211,1034,4,1,1680000000,1700000000,-99.2,GSM
404,20,6005,33819,0,77.731806,12.929584,268,5,1,1680000000,1700000000,-103.6,LTE
404,472,7912,11215,0,77.534316,13.037361,371,1,1,1680000000,1700000000,-113.2,GSM
405,472,7019,91968,0,77.607778,12.99684,370,3,1,1680000000,1700000000,-86.4,LTE
405,20,6370,99717,0,77.491579,12.93885,1890,14,1,1680000000,1700000000,-91.4,LTE
404,472,2580,54963,0,77.609495,12.995978,1361,14,1,1680000000,1700000000,-92.2,LTE
404,472,1480,33527,0,77.640203,12.948271,1233,7,1,1680000000,1700000000,-97.1,UMTS
404,10,6518,39737,0,77.735851,12.940422,1423,4,1,1680000000,1700000000,-105.4,GSM
404,1,5285,18299,0,77.759165,12.727285,892,1,1,1680000000,1700000000,-97.9,UMTS
404,10,1206,2807,0,77.676844,12.884498,636,2,1,1680000000,1700000000,-98.9,GSM
405,10,6690,11803,0,77.769032,12.807871,1411,4,1,1680000000,1700000000,-107.9,UMTS
404,472,3429,21365,0,77.646419,12.968282,1198,12,1,1680000000,1700000000,-69.3,NR
405,10,4009,8589,0,77.634575,12.863375,600,5,1,1680000000,1700000000,-107.5,UMTS
404,1,2348,92946,0,77.725739,12.793578,123,2,1,1680000000,1700000000,-106.0,GSM
404,472,7134,36649,0,77.617738,13.070907,1172,2,1,1680000000,1700000000,-97.2,LTE
405,10,8285,75302,0,77.684929,12.731936,441,4,1,1680000000,1700000000,-106.2,LTE
404,20,7829,48707,0,77.652406,12.830912,884,3,1,1680000000,1700000000,-83.1,UMTS
404,20,4167,55559,0,77.471584,13.160113,1975,4,1,1680000000,1700000000,-100.7,LTE
405,10,7720,38002,0,77.612636,12.936017,1684,4,1,1680000000,1700000000,-78.6,NR
405,20,5079,97937,0,77.53092,13.122423,1375,2,1,1680000000,1700000000,-93.1,LTE
404,472,6818,4133,0,77.547309,12.821292,577,2,1,1680000000,1700000000,-107.9,GSM
405,472,6264,97741,0,77.654377,12.970773,1589,3,1,1680000000,1700000000,-100.0,LTE
405,20,819,31339,0,77.482078,12.853755,1937,2,1,1680000000,1700000000,-92.0,UMTS
404,20,1665,67247,0,77.565223,13.122752,373,8,1,1680000000,1700000000,-111.2,GSM
404,20,4376,42288,0,77.557741,13.018608,1996,3,1,1680000000,1700000000,-92.0,UMTS
404,1,3421,18840,0,77.68029,13.100408,1697,3,1,1680000000,1700000000,-100.5,UMTS
405,10,2064,12851,0,77.506919,12.893052,422,5,1,1680000000,1700000000,-101.7,UMTS
405,10,1594,94212,0,77.521686,13.103798,608,2,1,1680000000,1700000000,-108.8,GSM
404,20,1769,19322,0,77.719065,13.027992,348,2,1,1680000000,1700000000,-108.2,LTE
405,10,1476,77326,0,77.732149,12.705978,1300,4,1,1680000000,1700000000,-96.0,LTE
404,20,7652,7637,0,77.678966,12.953786,444,3,1,1680000000,1700000000,-95.2,GSM
405,20,5899,29143,0,77.573263,13.162066,1960,4,1,1680000000,1700000000,-97.7,UMTS
405,20,9122,63787,0,77.511942,12.793576,224,3,1,1680000000,1700000000,-103.8,LTE
404,472,5983,63873,0,77.689266,12.843638,1215,20,1,1680000000,1700000000,-105.4,UMTS
405,472,3688,4840,0,77.537614,13.090718,1934,1,1,1680000000,1700000000,-106.1,UMTS
404,472,1740,33487,0,77.512373,13.105345,1445,3,1,1680000000,1700000000,-99.4,UMTS
405,10,2985,32005,0,77.613476,12.820576,1313,4,1,1680000000,1700000000,-108.3,GSM
404,472,5861,75403,0,77.695242,12.859002,1254,10,1,1680000000,1700000000,-116.7,LTE
405,10,1578,8362,0,77.779347,12.771051,576,2,1,1680000000,1700000000,-100.2,GSM
405,10,459,20360,0,77.598672,12.893601,1301,3,1,1680000000,1700000000,-94.7,LTE
405,472,5385,18884,0,77.587522,13.06213,422,6,1,1680000000,1700000000,-86.8,LTE
405,10,9307,91906,0,77.574747,13.066176,1921,18,1,1680000000,1700000000,-96.0,LTE
405,472,9397,5244,0,77.63415,12.855368,472,1,1,1680000000,1700000000,-102.3,UMTS
